"county_fips","alpha","tau","vhi","n_alpha_0","n_alpha_5","n_alpha_15","n_alpha_25","incidence","prod_loss_cost","mmr_cost","directMedicalCost","totalCost"
51009,25,0.5,75,26336,26032,25456,24863,240,264576.928799489,5668764,1558020,7513515.86901341
51009,25,0.5,85,26336,26032,25456,24863,12.25,17978.8314176245,5668764,79523.9375,5773811.90293742
51009,25,0.5,95,26336,26032,25456,24863,0,0,5668764,0,5668764
51009,25,0.6,75,26336,26032,25456,24863,771.25,891886.391123882,5668764,5006762.1875,11561650.0625
51009,25,0.6,85,26336,26032,25456,24863,259.75,0,5668764,1686232.0625,7377717.1875
51009,25,0.6,95,26336,26032,25456,24863,10,15790.0383141762,5668764,64917.5,5754299.24784483
51011,0,0.5,75,13479,13326,13004,12661,0,0,3073212,0,3073212
51011,0,0.5,85,13479,13326,13004,12661,0,0,3073212,0,3073212
51011,0,0.5,95,13479,13326,13004,12661,0,0,3073212,0,3073212
51011,5,0.4,75,13479,13326,13004,12661,0,0,3038328,0,3038328
51011,5,0.4,85,13479,13326,13004,12661,0,0,3038328,0,3038328
51011,5,0.4,95,13479,13326,13004,12661,0,0,3038328,0,3038328
51011,5,0.5,75,13479,13326,13004,12661,0,0,3038328,0,3038328
51011,5,0.5,85,13479,13326,13004,12661,0,0,3038328,0,3038328
51011,5,0.5,95,13479,13326,13004,12661,0,0,3038328,0,3038328
51011,5,0.6,75,13479,13326,13004,12661,0,0,3038328,0,3038328
51011,5,0.6,85,13479,13326,13004,12661,0,0,3038328,0,3038328
51011,5,0.6,95,13479,13326,13004,12661,0,0,3038328,0,3038328
51011,15,0.4,75,13479,13326,13004,12661,0,0,2964912,0,2964912
51011,15,0.4,85,13479,13326,13004,12661,0,0,2964912,0,2964912
51011,15,0.4,95,13479,13326,13004,12661,0,0,2964912,0,2964912
51011,15,0.5,75,13479,13326,13004,12661,0,0,2964912,0,2964912
51011,15,0.5,85,13479,13326,13004,12661,0,0,2964912,0,2964912
51011,15,0.5,95,13479,13326,13004,12661,0,0,2964912,0,2964912
51011,15,0.6,75,13479,13326,13004,12661,0,0,2964912,0,2964912
51011,15,0.6,85,13479,13326,13004,12661,0,0,2964912,0,2964912
51011,15,0.6,95,13479,13326,13004,12661,0,0,2964912,0,2964912
51011,25,0.4,75,13479,13326,13004,12661,1,0,2886708,6491.75,2898041.18103448
51011,25,0.4,85,13479,13326,13004,12661,0,0,2886708,0,2886708
51011,25,0.4,95,13479,13326,13004,12661,0,0,2886708,0,2886708
51011,25,0.5,75,13479,13326,13004,12661,10,14152.9885057472,2886708,64917.5,2967610.26173372
51011,25,0.5,85,13479,13326,13004,12661,3.25,5163.66235632183,2886708,21098.1875,2914537.93103448
51011,25,0.5,95,13479,13326,13004,12661,0,0,2886708,0,2886708
51011,25,0.6,75,13479,13326,13004,12661,148,74205.2143997445,2886708,960779,4013385.3738825
51011,25,0.6,85,13479,13326,13004,12661,22,0,2886708,142818.5,3036018.25
51011,25,0.6,95,13479,13326,13004,12661,2,6982.75862068964,2886708,12983.5,2907324.64176245
51013,0,0.5,75,197291,195372,191570,187689,0,0,44982348,0,44982348
51013,0,0.5,85,197291,195372,191570,187689,0,0,44982348,0,44982348
51013,0,0.5,95,197291,195372,191570,187689,0,0,44982348,0,44982348
51013,5,0.4,75,197291,195372,191570,187689,0,0,44544816,0,44544816
