"county_fips","pop","avg_age","prop_less_5","prop_5_17","prop_larger_18","prop_gender","prop_employment"
51103,9895,52.4629610914603,0.0239514906518444,0.0922688226376958,0.88377968671046,0.473673572511369,0.454977261243052
51105,22072,42.110864443639,0.0526458861906488,0.162558898151504,0.784795215657847,0.477392171076477,0.449710039869518
51107,356827,34.5401861406228,0.0742404582612863,0.229721966106825,0.696037575631889,0.492401079514723,0.183968701919978
51109,32937,41.9621702037223,0.0528281264231715,0.166135349303215,0.781036524273613,0.477274797340377,0.319640525852385
51111,10476,43.2997327224131,0.0516418480336006,0.158839251622757,0.789518900343643,0.473176785032455,0.381538755250095
51113,11884,43.9668461797375,0.0419050824638169,0.138337260181757,0.819757657354426,0.482749915853248,0.352490743857287
51115,8180,50.0585574572127,0.0289731051344743,0.109290953545232,0.861735941320293,0.485696821515892,0.427383863080685
51117,25858,45.9641503596566,0.042926753809266,0.140575450537551,0.816497795653183,0.473818547451466,0.39550622631294
51119,9375,50.63616,0.0273066666666667,0.113386666666667,0.859306666666667,0.478506666666667,0.44544
51121,83313,36.6483021857333,0.0501242303121962,0.136989425419802,0.812886344268001,0.489383409551931,0.313744553671096
51125,15278,42.7762141641576,0.055831915172143,0.159117685560937,0.78505039926692,0.469629532661343,0.347100405812279
51127,19602,40.6397306397306,0.0537700234669932,0.181410060197939,0.764819916335068,0.488929701050913,0.269207223752678
51131,11513,45.5399114044993,0.0431685920264049,0.13940762616173,0.817423781811865,0.476678537305654,0.405454703378789
51133,12577,50.3026953963584,0.0321221276934086,0.107497813469031,0.860380058837561,0.476266200206727,0.450425379661286
51135,14032,40.3492018244014,0.0600057012542759,0.187428734321551,0.752565564424173,0.483537628278221,0.360746864310148
51137,33988,40.5971225138284,0.065905613746028,0.170736730610804,0.763357655643168,0.482699776391668,0.311050959162057
51139,22541,42.6379042633424,0.0620203185306774,0.149860254647088,0.788119426822235,0.487334191029679,0.351093562841045
51141,17294,44.6794263906557,0.0475887591072048,0.149184688331213,0.803226552561582,0.477911414363363,0.397421070891639
51143,62539,43.0483538272118,0.0468987351892419,0.154047874126545,0.799053390684213,0.474455939493756,0.35235612977502
51145,26108,41.4148536846944,0.049984679025586,0.180749195648843,0.769266125325571,0.496093151524437,0.280488739083806
51147,17367,41.608049749525,0.0533195140208441,0.152760983474405,0.79391950250475,0.476939022283641,0.360971958311741
51149,30237,39.3039653404769,0.0624400568839501,0.174058272976816,0.763501670139233,0.485431755795879,0.29103416344214
51153,420169,34.7797719489063,0.0748555938205817,0.211279270960018,0.7138651352194,0.489995692209563,0.219040433730237
51155,33255,43.078815215757,0.0395729965418734,0.144399338445347,0.81602766501278,0.482303413020598,0.36376484739137
51157,7143,45.4713705725885,0.0480190396192076,0.134257314853703,0.817723645527089,0.479630407391852,0.356152876942461
51159,7923,42.1486810551559,0.0560393790230973,0.182759055913164,0.761201565063738,0.479490092136817,0.360595733939164
